Kecamatan,Tahun,Long,Lat,Intercept,X1_fe,X2_fe,X3_fe,X5_fe,y,yhat,residual,CV_Score,Stud_residual,Intercept_SE,X1_fe_SE,X2_fe_SE,X3_fe_SE,X5_fe_SE,Intercept_TV,X1_fe_TV,X2_fe_TV,X3_fe_TV,X5_fe_TV,Local_R2,coords.x1,coords.x2,optional,Intercept_p_p,X1_fe_p_p,X2_fe_p_p,X3_fe_p_p,X5_fe_p_p,ket.Kepadatan,ket.SIM_C,ket.SIM_A,ket.Macet
Pal Merah,2024,106.796,-6.192,1.57E-16,5.311728118,-0.655257836,-1.137675746,8.335813287,5.158496952,4.187259335,0.971237617,0,0.50569157,0.482822806,5.034295607,0.689974339,1.056980584,2.613325778,3.24E-16,1.055108506,-0.949684357,-1.07634498,3.189733694,0.787969027,106.796,-6.192,TRUE,1,0.294,0.345,0.285,0.002,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Pal Merah,2023,106.796,-6.192,1.57E-16,5.311728118,-0.655257836,-1.137675746,8.335813287,2.036248797,2.444377607,-0.40812881,0,-0.187002038,0.482822806,5.034295607,0.689974339,1.056980584,2.613325778,3.24E-16,1.055108506,-0.949684357,-1.07634498,3.189733694,0.787969027,106.796,-6.192,TRUE,1,0.294,0.345,0.285,0.002,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Pal Merah,2022,106.796,-6.192,1.57E-16,5.311728118,-0.655257836,-1.137675746,8.335813287,1.221749278,1.557271821,-0.335522543,0,-0.13928199,0.482822806,5.034295607,0.689974339,1.056980584,2.613325778,3.24E-16,1.055108506,-0.949684357,-1.07634498,3.189733694,0.787969027,106.796,-6.192,TRUE,1,0.294,0.345,0.285,0.002,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Pal Merah,2020,106.796,-6.192,1.57E-16,5.311728118,-0.655257836,-1.137675746,8.335813287,-6.38024623,-5.479119543,-0.901126688,0,-0.603632235,0.482822806,5.034295607,0.689974339,1.056980584,2.613325778,3.24E-16,1.055108506,-0.949684357,-1.07634498,3.189733694,0.787969027,106.796,-6.192,TRUE,1,0.294,0.345,0.285,0.002,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Pal Merah,2021,106.796,-6.192,1.57E-16,5.311728118,-0.655257836,-1.137675746,8.335813287,-2.036248797,-2.70978922,0.673540423,0,0.377800515,0.482822806,5.034295607,0.689974339,1.056980584,2.613325778,3.24E-16,1.055108506,-0.949684357,-1.07634498,3.189733694,0.787969027,106.796,-6.192,TRUE,1,0.294,0.345,0.285,0.002,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Kembangan,2024,106.742,-6.198,9.25E-17,3.231773021,0.254794929,-0.281447472,4.7617906,1.107320077,1.536895444,-0.429575367,0,-0.246673814,0.813467778,11.91618551,1.516857278,2.028448909,4.326931017,1.14E-16,0.271208686,0.167975546,-0.138750091,1.100500697,0.832373712,106.742,-6.198,TRUE,1,0.787,0.867,0.89,0.274,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Kembangan,2022,106.742,-6.198,9.25E-17,3.231773021,0.254794929,-0.281447472,4.7617906,-0.457371336,0.270628013,-0.727999349,0,-0.383040356,0.813467778,11.91618551,1.516857278,2.028448909,4.326931017,1.14E-16,0.271208686,0.167975546,-0.138750091,1.100500697,0.832373712,106.742,-6.198,TRUE,1,0.787,0.867,0.89,0.274,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Kembangan,2023,106.742,-6.198,9.25E-17,3.231773021,0.254794929,-0.281447472,4.7617906,1.307921541,0.816293292,0.491628248,0,0.221892211,0.813467778,11.91618551,1.516857278,2.028448909,4.326931017,1.14E-16,0.271208686,0.167975546,-0.138750091,1.100500697,0.832373712,106.742,-6.198,TRUE,1,0.787,0.867,0.89,0.274,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Kembangan,2021,106.742,-6.198,9.25E-17,3.231773021,0.254794929,-0.281447472,4.7617906,-0.81845397,-1.367082577,0.548628606,0,0.476673394,0.813467778,11.91618551,1.516857278,2.028448909,4.326931017,1.14E-16,0.271208686,0.167975546,-0.138750091,1.100500697,0.832373712,106.742,-6.198,TRUE,1,0.787,0.867,0.89,0.274,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Kembangan,2020,106.742,-6.198,9.25E-17,3.231773021,0.254794929,-0.281447472,4.7617906,-1.139416312,-1.256734173,0.117317862,0,0.130350928,0.813467778,11.91618551,1.516857278,2.028448909,4.326931017,1.14E-16,0.271208686,0.167975546,-0.138750091,1.100500697,0.832373712,106.742,-6.198,TRUE,1,0.787,0.867,0.89,0.274,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Kebon Jeruk,2024,106.769,-6.19,2.12E-16,9.633670949,-0.20824752,-0.740642999,6.368101517,1.86934314,1.72966684,0.139676299,0,0.063699658,0.590111755,7.425737832,0.8533482,1.446457648,2.598832396,3.60E-16,1.297335183,-0.24403581,-0.512039187,2.450370223,0.88919685,106.769,-6.19,TRUE,1,0.198,0.808,0.61,0.016,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Kebon Jeruk,2023,106.769,-6.19,2.12E-16,9.633670949,-0.20824752,-0.740642999,6.368101517,0.736407903,0.862751442,-0.126343539,0,-0.054300198,0.590111755,7.425737832,0.8533482,1.446457648,2.598832396,3.60E-16,1.297335183,-0.24403581,-0.512039187,2.450370223,0.88919685,106.769,-6.19,TRUE,1,0.198,0.808,0.61,0.016,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
