KabupatenKota,PutusSekolah,RataLamaSekolah,PresentasePenduduk,PresentaseAksesGadget,PendudukMiskin
Barru,2992,7.86,10.62,9.87,15680
Bone,15995,6.97,8.68,13.5,79570
Bulukumba,8879,7.34,10.33,13.05,31250
Enrekang,3194,8.68,10.68,10.84,25530
Gowa,15852,7.75,9.18,16.16,59340
Jeneponto,9431,6.21,8.96,13.41,55940
Luwu Timur,4646,8.45,12.35,16.82,51140
Luwu Utara,6423,7.53,11.43,11.68,42430
Luwu,7144,7.97,9.71,12.94,47910
Makassar,27764,11.09,16.6,16.72,66220
Maros,8134,7.43,10.56,15.16,35970
Palopo,2205,10.51,12.66,14.67,14260
Pangkep,11418,7.49,11.2,11.85,50120
Pare Pare,2139,10.29,13.3,13.65,8010
Pinrang,8841,7.84,11.51,13.77,32940
Kepulauan Selayar,1473,7.4,8.67,8.94,17590
Sidrap,5804,7.79,11.83,13.36,15410
Sinjai,4631,7.29,9.1,10.9,22480
Soppeng,3331,7.63,9.29,9.29,16990
Takalar,6205,6.91,10.13,11.82,26570
Toraja Utara,3295,7.76,7.78,11.43,30680
Tanah Toraja,2421,7.94,7.09,13.85,29650
Wajo,12331,6.79,12.06,11.83,19730
Bantaeng,4941,6.47,11.15,8.79,17200
