KabupatenKota,PutusSekolah,RataLamaSekolah,PresentasePenduduk,PresentaseAksesGadget,PendudukMiskin
BARRU,2992,7.86,10.62,9.87,15680
BONE,15995,6.97,8.68,13.5,79570
BULUKUMBA,8879,7.34,10.33,13.05,31250
ENREKANG,3194,8.68,10.68,10.84,25530
GOWA,15852,7.75,9.18,16.16,59340
JENEPONTO,9431,6.21,8.96,13.41,55940
LUWU TIMUR,4646,8.45,12.35,16.82,51140
LUWU UTARA,6423,7.53,11.43,11.68,42430
LUWU,7144,7.97,9.71,12.94,47910
MAKASSAR,27764,11.09,16.6,16.72,66220
MAROS,8134,7.43,10.56,15.16,35970
PALOPO,2205,10.51,12.66,14.67,14260
PANGKEP,11418,7.49,11.2,11.85,50120
PARE-PARE,2139,10.29,13.3,13.65,8010
PINRANG,8841,7.84,11.51,13.77,32940
SELAYAR,1473,7.4,8.67,8.94,17590
SIDRAP,5804,7.79,11.83,13.36,15410
SINJAI,4631,7.29,9.1,10.9,22480
SOPPENG,3331,7.63,9.29,9.29,16990
TAKALAR,6205,6.91,10.13,11.82,26570
TORAJA UTARA,3295,7.76,7.78,11.43,30680
TANAH TORAJA,2421,7.94,7.09,13.85,29650
WAJO,12331,6.79,12.06,11.83,19730
BANTAENG,4941,6.47,11.15,8.79,17200
