"Kabupaten","Intercept","RataLamaSekolah","PresentasePenduduk","PresentaseAksesGadget","PendudukMiskin","y","yhat","residual","CV_Score","Stud_residual","Intercept_SE","RataLamaSekolah_SE","PresentasePenduduk_SE","PresentaseAksesGadget_SE","PendudukMiskin_SE","Intercept_TV","RataLamaSekolah_TV","PresentasePenduduk_TV","PresentaseAksesGadget_TV","PendudukMiskin_TV","Local_R2","coords.x1","coords.x2","optional","Intercept_p_p","RataLamaSekolah_p_p","PresentasePenduduk_p_p","PresentaseAksesGadget_p_p","PendudukMiskin_p_p"
"Barru",-10184.6964233832,-1502.63817581819,2088.4770013632,-36.4601071142297,0.242379010338466,2992,3624.83489405266,-632.834894052662,0,-0.558507255033138,3888.0899331944,680.447831996103,467.982413217156,342.050007035769,0.0286686858441593,-2.61946009438511,-2.20830768379434,4.4627253981745,-0.106592914381718,8.45448625221326,0.9773803526253,119.694135925746,-4.44162978132249,TRUE,0.016,0.039,0,0.916,0
"Bone",-13844.8787122657,-692.040787798482,1680.53140314599,213.13901138751,0.21793317072542,15995,16136.9286244392,-141.928624439233,0,-0.307384296823542,3099.73512971144,641.632695670271,403.272447731077,318.954728157485,0.0329608541185605,-4.46647153157066,-1.07856222488094,4.16723585407615,0.668242206719292,6.611878743843,0.982416362794777,120.129823280492,-4.6950624496667,TRUE,0,0.294,0,0.512,0
"Bulukumba",-22406.0346232826,1224.15611523687,1154.66034375081,292.612686703684,0.198485816957393,8879,8528.18995490359,350.810045096408,0,0.355999099000708,3827.59345092424,954.457193082202,515.499703453509,394.629956170021,0.0430977030798225,-5.85381778670152,1.28256785543597,2.23988556349373,0.741486250926211,4.60548481179545,0.980275579307362,120.23599816354,-5.43247096691321,TRUE,0,0.214,0.037,0.467,0
"Enrekang",5382.12834770331,-2655.13922477461,1341.30983721073,361.959768424288,0.114018257617618,3194,3495.23894476734,-301.238944767342,0,-0.438294840357518,6453.74041399962,626.811046037628,358.13021335726,464.422188801265,0.0605519827702298,0.833954885453444,-4.23594836364008,3.74531326088558,0.779376561138377,1.88298140541939,0.974870167136515,119.872028710735,-3.50370842187311,TRUE,0.414,0,0.001,0.445,0.074
"Gowa",-21489.6298451381,2147.72122017497,617.507786309316,59.488428848741,0.213358646304012,15852,14445.9661714132,1406.03382858683,0,1.4944109044385,3547.13387145095,1052.5035286819,541.388670021871,379.269709556715,0.0418944518780065,-6.05830809434542,2.04058339154898,1.14059975855123,0.156849933832761,5.09276614777768,0.98871015415241,119.718683156806,-5.30927453582421,TRUE,0,0.055,0.268,0.877,0
"Jeneponto",-21572.8376262901,2227.24909288232,624.90755030939,62.954529198556,0.202696205875853,9431,10040.596884529,-609.596884529037,0,-1.10679103529496,3810.46784941097,1067.39362564287,539.343764812179,400.486992602187,0.0539539835747438,-5.66146690612411,2.0866239401991,1.15864424710093,0.157194941062893,3.75683485159261,0.98751594562323,119.698442166663,-5.56751975484052,TRUE,0,0.05,0.26,0.877,0.001
"Luwu Timur",-5389.12480825558,1744.26641927101,136.011659439777,-1071.97112213797,0.227773963069865,4646,4647.47662569791,-1.47662569790737,0,-0.0434989451986453,13741.9459471368,2316.73480157178,626.42602724963,766.463324868806,0.145650413301356,-0.392166060686509,0.752898613206662,0.217123257213539,-1.39859414972198,1.56384014234544,0.99985853190495,121.138440148944,-2.5506973677895,TRUE,0.699,0.46,0.83,0.177,0.134
"Luwu Utara",-3581.9492428978,729.007310084475,280.299579684135,-548.938147578985,0.181655897205218,6423,6407.36215252281,15.6378474771918,0,0.0993445093370062,13246.9438841697,2170.08206424784,634.553385613745,595.04858101046,0.131539148160679,-0.270398159320225,0.335935364885452,0.441727340896664,-0.922509800202911,1.38100253609153,0.997836728796677,120.160886867413,-2.39524915173419,TRUE,0.79,0.74,0.663,0.367,0.183
"Luwu",5200.64475208044,-2361.07679042847,1145.33384019979,401.193285038668,0.0872565659170503,7144,6875.95750219166,268.042497808337,0,0.711296209404555,8113.30700825623,685.592140813503,337.6632984468,495.8380893591,0.0670770273102647,0.641001843858266,-3.44385043216349,3.39194056762505,0.809121553282108,1.30084127779613,0.988636157918632,120.182514155374,-3.19849000614874,TRUE,0.529,0.003,0.003,0.428,0.208
"Makassar",-22649.9865143649,2058.11637772289,601.024855471401,152.625367372115,0.224262473119773,27764,27554.0938278603,209.906172139668,0,0.761222204970894,3662.19230393576,980.894340380058,538.733795491051,383.923018339666,0.0426997874945838,-6.18481626156631,2.09820394816984,1.11562493480397,0.397541590582838,5.25207468885458,0.992019339238348,119.461148047695,-5.13341673094589,TRUE,0,0.049,0.278,0.695,0
