Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,sentiment
string,@AgungWi08669653 @KomaRedaksi @Navigo78B @syimimira @HasyimOm @bmaxxxyyy @FathraNazrul @orangemarlade @stphenkt @Mr98Hehehehe @bakulswikee @KE_Yoga @rudestrong @AwalReto @JokoSan134 @sandy_rizaldi @sandicalla @nombuycart @sapphirehuang @shiniestmuscat @demplo13 @fr8les @humairaa459 @tictactwoooo @spelledbarou @calicoxkitten @anelpeu @SenoNunky @nana_bluenana @Arifineyusuf @M1ntAngsteuBoi @pisauKeadilan @AmirJohan744577 @icenk86 @onepunchmas @Jangkrikgengg15 @hyebin12_ @conconlatte @SieTrihartono @Ahmed86R @MardianahA17345 @deamstka @pejuangkantin99 @spiwny @na_yuu_ta @Elhami235711 @toddysolo79 @Raju71716287 @putusayangg @akunalterub @AbiTsuraya @harissp32 @winsuncream @UdaBroo @Oedjhie2 @CecepLagi @EKubang @Mat16_16 @thisisdee_ @anggagrab7 @FitraYouse @zoelf1k4r @auliadistiani @qualiATEif @hdsambodo @teasegar @RMuhammadAli1 @anonreader08 @imutimutmu @andikaws @R4Y99 @prasetiowardoyo @OmTivi @ArdiPramudito @belsbibib @PpKk669840 @Rawing1274 @Cl_aire_P @hdlsoo_ @rinaldi_niki @Ecl4te @KrisnaGuritno @elisafmradio @dimskp @Arthuria_ST347 @serisong @kekcrumbs @Warticfox @Ragadi15 @Julius_And @Boeluxs1 @KanjengRomoBram @lawjusticeco @taviariss @Sunarti25231614 @Ronaldxcviii,time,discrete,discrete,continuous,continuous,@NenkMonica @_BangFu @Penyair_Berdiri @pakmul63 @5lamate @CNNIndonesia,Tegakkan\ Keadilan Redaksi\ Koma\ Indonesia Penjaga\ Terakhir Shim om\ hasyim Starry fathra ✨ Stephen hehehehe suketi Yoga rudestrong Awal\ R Joko\ Santoso sandyrizaldi calla nom\ |\ mention\ after\ dm\ 💌 Sapphire Cei. Demplo13 jara tata\ katili Nin\ 🌸 revina 🔍⍤⃝🐱\ tica. プヤ☀️ Nunky\ Seno NANANA Suf\  Syifa\ 🐹 @pisauKeadilan Amir\ Johan icenk Vitro PetrukTinggalGlanggang Hyebin conay\ 🐣🐥🍉 Sie\ Trihartono Elbantani Mardiono\ suhe. Dea\ Mustika Pejuangkantin ً 𝙉𝙖𝙣𝙖\ ଘ(੭ˊᵕˋ)੭*\ ੈ✩‧˚ Elhami Kurnia Raju\ Musba Charyn Eiden. Abi Abdul\ Harissp32 W Mas\ Bro 🇮🇩🤘\ Kebul\ Damri\ 97👆🏴 Puja\ Kelam Hamba\ Allah 💕\ INRI 유디라\ 아싷 Anak\ Magang cordova🇮🇩gain Oepick naul vaaaaaan Hudi\ Sambodo rara🇵🇸\ |\ TITIP\ SHOPEE\ VIDEO\ DM🥰 R\ Muhammad\ Ali Zekai\ Gaming Imut andika R4Y\ 🍉🍉🇲🇨🇵🇸 M.\ Prasetio\ Wardoyo comifuro19\ ab-29\ |\ kakanda\ sayang\ bakpa(om) Ardi\ P. laa\ 🏃🏻‍♀️ Pp\ Kk Hyung\ Nim Claire\ 🍉❤️🖤🤍💚 aul\ 🐮 Rinaldi\ Kaharudin Gaharu\ 2 Krisna\ Guritno Elisa\ FM\ Salatiga HEY\ DIMS! Arthur\ Stefanus tinker\ 송\ 30 🍪 artic\ fox\ 🦊🍉 Ragadi Julius\ Andre Ardha RomoBram Law-Justice.co\ |\ News\ &\ Investigation aro\ ❄ Sunarti RonZ,string,continuous,continuous,continuous,continuous,discrete,continuous,continuous,continuous
meta include=True title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@AgungWi08669653,2024-11-14 03:20:01,in,,0,3280,,Tegakkan Keadilan,Konsisten Kreatif Fokus Disiplin,5337,157,27,0,False,,,7.14286
"Lapor Mas Wapres, Solusi atau Bumerang? 

#komaindonesia #komaid #komatv 

https://t.co/2jMNWNgwCk",@KomaRedaksi,2024-11-14 03:20:01,in,,0,0,,Redaksi Koma Indonesia,Portal media komunikasi masyarakat Indonesia,453,24,231,0,False,,,12.5
"RT @pakmul63: Waduuh bisa banjir laporan di kantor mas wapres ini.

Tebak-tebakan:
“Lapor Mas Wapres” ditutup pasca Prabowo pulang dari LN.…",@Navigo78B,2024-11-14 03:20:01,in,,0,28,,Penjaga Terakhir,"Setiap orang ada masanya
Setiap masa ada orangnya
❌Porn ⛔Komunisme ⛔ LGBT",9014,1323,1297,0,False,,,0
"RT @FayaAtika: Wkwkwk.... Kaum low quality emang mudah di bodohi... 

Percayalah.. Lapor Mas Wapres cuma konten biar dibilang brilian oleh…",@syimimira,2024-11-14 03:19:51,in,,0,2058,,Shim,#LGE #Day6 #lesgo,23161,330,202,1,False,,,13.3333
RT @PartaiSocmed: Jujur2an aja yuk! Sebenarnya resistensi terhadap program Lapor Mas Wapres ini bukan seperti macam2 alasan yg mereka tuduh…,@HasyimOm,2024-11-14 03:19:51,in,,0,194,,om hasyim,,23281,74,123,0,False,,,-8.33333
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@bmaxxxyyy,2024-11-14 03:19:49,in,,0,305,,Starry,HAHA,12352,490,117,0,False,,,0
Reza Indagiri Adukan Fufufafa dan mobil Esemka ke Lapor Mas Wapres. Ini yang terjadi https://t.co/tmuEF1uidm #Fufufafa lewat @jpnncom,@FathraNazrul,2024-11-14 03:19:39,in,,0,0,,fathra,,10133,466,219,0,False,,,9.09091
"RT @FayaAtika: Wkwkwk.... Kaum low quality emang mudah di bodohi... 

Percayalah.. Lapor Mas Wapres cuma konten biar dibilang brilian oleh…",@orangemarlade,2024-11-14 03:19:28,in,,0,2058,,✨,,2059,34,19,0,False,,,13.3333
